ger,pior,Medio,melhor,dev.padr,ilha
73,-1.39549,1.70428,1.86743,0.505717,ilha_2
73,1.86743,1.86743,1.86743,3.70614e-14,ilha_3
73,1.86738,1.86743,1.86743,1.27172e-10,ilha_4
73,-1.78553,1.58953,1.86743,0.770796,ilha_5
74,-1.78553,1.68478,1.86743,0.633846,ilha_0
74,1.86743,1.86743,1.86743,4.43734e-31,ilha_1
74,1.86719,1.86742,1.86743,2.80724e-09,ilha_2
74,-0.0340628,1.75733,1.86743,0.173179,ilha_3
74,-1.78553,1.58875,1.86743,0.770378,ilha_4
74,-1.39549,1.60905,1.86743,0.646393,ilha_5
75,1.56683,1.81876,1.86743,0.0114418,ilha_0
75,1.79576,1.86382,1.86743,0.000243755,ilha_1
75,1.56727,1.85242,1.86743,0.00427945,ilha_2
75,1.86743,1.86743,1.86743,1.49288e-12,ilha_3
75,-1.78553,1.46985,1.86743,1.18622,ilha_4
75,-0.0342504,1.77235,1.86743,0.171779,ilha_5
76,1.79576,1.86305,1.86743,0.000250213,ilha_0
76,-0.034813,1.77227,1.86743,0.171872,ilha_1
76,-1.78553,1.32775,1.86743,1.27068,ilha_2
76,1.79576,1.86305,1.86743,0.000250233,ilha_3
76,-1.78553,1.50213,1.86743,1.20097,ilha_4
76,1.86704,1.86741,1.86743,7.15035e-09,ilha_5
77,1.86743,1.86743,1.86743,6.94812e-18,ilha_0
77,-1.78553,1.52163,1.86743,1.07997,ilha_1
77,-0.0342504,1.74229,1.86743,0.174195,ilha_2
77,-1.78553,1.68461,1.86743,0.633783,ilha_3
77,-1.76733,1.68569,1.86743,0.627545,ilha_4
